host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,room_type
100%,N/A,2,Washington,DC,20005,38.90126,-77.02857,1,1,1,1,$55.00 ,"$1,500.00 ",$0.00 ,59,720,11,Private room
100%,N/A,5,Washington,DC,20001,38.91046,-77.01933,16,3.5,4,6,$433.00 ,$500.00 ,$202.00 ,2,365,175,Entire home/apt
63%,N/A,1,Washington,DC,20009,38.91842,-77.0275,2,1,1,1,$75.00 ,$500.00 ,$25.00 ,2,30,79,Private room
90%,N/A,2,Washington,DC,20020,38.86314,-76.98836,1,1,1,1,$55.00 ,$0.00 ,$0.00 ,2,365,71,Private room
N/A,N/A,1,Washington,DC,20009,38.9276,-77.03926,2,1,1,1,$88.00 ,,,1,1125,1,Private room
100%,N/A,2,Washington,DC,20003,38.88791,-76.99668,1,1.5,1,0,$83.00 ,,$25.00 ,7,365,42,Private room
N/A,N/A,1,Washington,DC,20001,38.91331,-77.02436,2,2.5,1,1,$475.00 ,,,2,365,120,Private room
100%,N/A,3,Washington,DC,20019,38.90645,-76.94305,4,1,1,1,$52.00 ,$200.00 ,$55.00 ,30,180,102,Private room
100%,N/A,5,Washington,DC,20002,38.91263,-76.99221,1,3,1,1,$99.00 ,,,2,365,31,Private room
100%,N/A,4,Washington,DC,20009,38.91933,-77.04124,4,1,1,1,$118.00 ,$150.00 ,$5.00 ,4,15,92,Entire home/apt
97%,N/A,54,Washington,DC,20007,38.91988,-77.09796,2,1,1,2,$99.00 ,$0.00 ,$45.00 ,3,120,160,Entire home/apt
100%,N/A,4,Washington,DC,20009,38.92029,-77.04205,1,1,1,1,$42.00 ,$0.00 ,$0.00 ,1,7,112,Shared room
100%,N/A,4,Washington,DC,20005,38.91146,-77.03636,4,1,1,2,$195.00 ,"$1,000.00 ",$125.00 ,2,180,151,Entire home/apt
100%,N/A,4,Washington,DC,20007,38.92828,-77.07638,4,1,1,3,$125.00 ,$0.00 ,$75.00 ,1,365,377,Entire home/apt
100%,N/A,4,Washington,DC,20007,38.92744,-77.07496,2,1.5,1,1,$69.00 ,$0.00 ,$20.00 ,1,365,89,Private room
100%,N/A,1,Washington,DC,20010,38.92905,-77.03084,4,1,1,2,$125.00 ,$0.00 ,$0.00 ,2,90,24,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.95845,-77.03764,4,1,0,2,$100.00 ,,$15.00 ,2,60,163,Entire home/apt
100%,N/A,4,Washington,DC,20007,38.927,-77.07645,2,1.5,1,1,$69.00 ,$0.00 ,$20.00 ,1,365,107,Private room
N/A,N/A,1,Washington,DC,20001,38.90427,-77.02656,3,1,1,2,$85.00 ,$175.00 ,$35.00 ,3,30,554,Private room
100%,N/A,2,Washington,DC,20002,38.89866,-77.00179,2,1,1,1,$93.00 ,$0.00 ,$120.00 ,30,365,169,Entire home/apt
100%,N/A,4,Washington,DC,20007,38.92708,-77.0768,2,1.5,1,1,$69.00 ,$0.00 ,$20.00 ,1,365,81,Private room
100%,N/A,1,Washington,DC,20007,38.92466,-77.06834,2,1,1,1,$75.00 ,$0.00 ,$25.00 ,3,31,107,Private room
100%,N/A,4,Washington,DC,20005,38.90933,-77.03484,1,1,1,1,$90.00 ,,,2,4,92,Shared room
N/A,N/A,2,Washington,DC,20009,38.92194,-77.04622,4,1,1,2,$149.00 ,$200.00 ,$100.00 ,2,730,22,Entire home/apt
100%,N/A,2,"Washington, D.C.",DC,20024,38.88225,-77.01774,8,2.5,3,5,$379.00 ,$200.00 ,$175.00 ,1,90,22,Entire home/apt
100%,N/A,5,Washington,DC,20001,38.90749,-77.02546,11,2.5,3,3,$433.00 ,$350.00 ,$150.00 ,2,365,133,Entire home/apt
100%,N/A,12,Washington,DC,20009,38.917,-77.04641,2,1,1,1,$179.00 ,$0.00 ,$0.00 ,1,365,14,Private room
100%,N/A,3,Washington,DC,20001,38.91139,-77.0208,4,1,1,2,$129.00 ,,$60.00 ,2,1125,585,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.90879,-77.02403,6,1,2,3,$130.00 ,$400.00 ,$95.00 ,4,365,178,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91168,-77.03501,2,,1,1,$195.00 ,,$100.00 ,3,365,152,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.90519,-76.98855,2,1,1,1,$73.00 ,,,2,7,40,Private room
100%,N/A,1,Washington,DC,20009,38.92114,-77.0487,1,1,1,1,$63.00 ,$0.00 ,$15.00 ,3,70,265,Private room
100%,N/A,1,Washington,DC,20009,38.92166,-77.04877,3,1,1,2,$90.00 ,,$15.00 ,3,100,101,Private room
79%,N/A,44,Washington,DC,20001,38.9165,-77.01028,1,1,1,1,$35.00 ,,$25.00 ,28,730,5,Private room
100%,N/A,1,Washington,DC,20010,38.93375,-77.02924,3,1,1,1,$99.00 ,$0.00 ,$50.00 ,6,730,154,Entire home/apt
100%,N/A,2,Washington,DC,20011,38.94684,-77.02294,16,3.5,4,6,$221.00 ,$500.00 ,$155.00 ,4,90,144,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.91573,-77.00721,4,1.5,1,1,$62.00 ,$0.00 ,$30.00 ,1,30,35,Private room
N/A,N/A,1,Washington,DC,20003,38.89183,-76.98301,2,1,1,1,$128.00 ,,,1,5,99,Entire home/apt
100%,N/A,5,Washington,DC,20002,38.90476,-76.98492,1,,1,1,$99.00 ,,,2,730,10,Private room
100%,N/A,5,Washington,DC,20002,38.90467,-76.98627,1,,1,1,$99.00 ,,,2,730,10,Private room
100%,N/A,4,Washington,DC,20001,38.91235,-77.01873,2,1.5,1,1,$87.00 ,$200.00 ,$40.00 ,3,365,101,Private room
N/A,N/A,2,Washington,DC,20009,38.92105,-77.03772,2,1,1,1,$75.00 ,,$150.00 ,180,365,8,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.89768,-76.97113,8,1,2,5,$140.00 ,$250.00 ,$75.00 ,2,30,13,Entire home/apt
N/A,N/A,1,Washington,DC,20012,38.97267,-77.01821,2,2.5,1,1,$118.00 ,$150.00 ,$35.00 ,7,80,3,Entire home/apt
100%,N/A,4,Washington,DC,20001,38.91703,-77.01672,2,1,1,1,$75.00 ,$200.00 ,$40.00 ,10,730,150,Private room
33%,N/A,1,Washington,DC,20001,38.91409,-77.02484,4,2,2,1,$150.00 ,,$75.00 ,2,30,7,Entire home/apt
100%,N/A,2,Washington,DC,20016,38.95126,-77.08569,4,2.5,3,3,$188.00 ,$500.00 ,$50.00 ,2,365,8,Entire home/apt
90%,N/A,1,Washington,DC,20011,38.94934,-77.02295,2,1,,1,$85.00 ,$0.00 ,$45.00 ,5,31,103,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.915,-77.03853,2,1,1,1,$135.00 ,$400.00 ,$75.00 ,3,365,29,Entire home/apt
70%,N/A,2,Washington,DC,20020,38.86239,-76.98811,4,1,1,2,$72.00 ,,,1,365,80,Private room
100%,N/A,5,Washington,DC,20011,38.94437,-77.04345,1,1,1,1,$49.00 ,$0.00 ,$50.00 ,30,10000,35,Private room
100%,N/A,2,Washington,DC,20011,38.96648,-77.03228,2,1,1,2,$58.00 ,$0.00 ,$25.00 ,3,21,131,Private room
N/A,N/A,2,Washington,DC,20016,38.9232,-77.10166,2,1,1,1,$80.00 ,$250.00 ,$50.00 ,3,365,18,Private room
100%,N/A,3,Washington,DC,20020,38.86427,-76.98934,2,1,1,1,$75.00 ,,,2,1125,37,Private room
N/A,N/A,1,Washington,DC,20003,38.87859,-76.98519,2,1,1,1,$120.00 ,$100.00 ,$75.00 ,4,365,124,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.90831,-77.02364,4,1,2,2,$110.00 ,$400.00 ,$95.00 ,4,365,177,Entire home/apt
0%,N/A,2,Washington,DC,20011,38.96234,-77.01735,1,1.5,1,4,$64.00 ,$199.00 ,$89.00 ,1,730,0,Private room
100%,N/A,1,Washington,DC,20009,38.92009,-77.04137,4,2,2,2,$250.00 ,$950.00 ,$135.00 ,4,14,80,Entire home/apt
100%,N/A,2,Washington,DC,20016,38.95173,-77.08628,1,1,1,1,$80.00 ,$0.00 ,$75.00 ,2,14,41,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91314,-77.04431,1,1,1,0,$100.00 ,"$1,000.00 ",$100.00 ,120,360,7,Entire home/apt
N/A,N/A,1,Washington,DC,20019,38.88359,-76.92951,2,1,1,1,$59.00 ,,,1,730,0,Private room
100%,N/A,1,Washington,DC,20001,38.90123,-77.01752,4,1.5,1,2,$149.00 ,$200.00 ,$79.00 ,2,730,377,Entire home/apt
100%,N/A,1,Washington,DC,20012,38.96995,-77.01984,3,1,0,2,$99.00 ,$100.00 ,$60.00 ,2,1825,5,Entire home/apt
27%,N/A,3,Washington,DC,20001,38.93404,-77.01488,2,1.5,1,1,$65.00 ,,$10.00 ,1,365,131,Private room
100%,N/A,2,Washington,DC,20001,38.90962,-77.01017,1,1,1,1,$50.00 ,"$1,000.00 ",$100.00 ,3,250,36,Private room
,,,Washington,DC,20012,38.97291,-77.02063,2,1,1,2,$90.00 ,,,1,730,157,Entire home/apt
100%,N/A,1,Washington,DC,20032,38.82771,-76.99404,2,1,1,1,$35.00 ,$200.00 ,$99.00 ,28,365,113,Private room
100%,N/A,1,Washington,DC,20011,38.9581,-77.02271,6,3,3,2,$199.00 ,$500.00 ,$99.00 ,4,60,13,Entire home/apt
100%,N/A,4,Washington,DC,20012,38.98897,-77.04529,2,1.5,1,1,$86.00 ,$300.00 ,$125.00 ,2,3365,6,Private room
100%,N/A,5,Washington,DC,20011,38.94363,-77.04562,4,1.5,1,1,$109.00 ,,$25.00 ,1,1125,117,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88535,-76.98183,3,1,1,1,$78.00 ,$149.00 ,$0.00 ,2,120,376,Entire home/apt
100%,N/A,4,Washington,DC,20012,38.9889,-77.0455,3,1.5,1,2,$86.00 ,$300.00 ,$125.00 ,2,3365,1,Private room
100%,N/A,4,Washington,DC,20012,38.98787,-77.04416,2,1.5,1,1,$86.00 ,$300.00 ,$125.00 ,2,1825,5,Private room
100%,N/A,4,Washington,DC,20012,38.98913,-77.04467,2,1.5,1,1,$74.00 ,$300.00 ,$125.00 ,2,1000,8,Private room
100%,N/A,2,Washington,DC,20020,38.8587,-76.98736,2,1,1,2,$90.00 ,$300.00 ,$60.00 ,5,365,8,Private room
100%,N/A,1,Washington,DC,20012,38.96703,-77.00426,2,1,1,1,$58.00 ,$250.00 ,$35.00 ,150,1000,32,Private room
100%,N/A,3,Washington,DC,20002,38.89661,-76.98703,2,1,1,1,$77.00 ,$0.00 ,$35.00 ,2,30,699,Private room
100%,N/A,2,Washington,DC,20007,38.91365,-77.06975,1,1,1,1,$125.00 ,,$125.00 ,2,14,37,Private room
100%,N/A,8,Washington,DC,20009,38.92499,-77.02831,1,1,1,1,$55.00 ,$0.00 ,$20.00 ,3,365,83,Private room
100%,N/A,3,Washington,DC,20002,38.9137,-77.00232,4,1,2,2,$160.00 ,$200.00 ,$30.00 ,1,7,11,Entire home/apt
100%,N/A,4,Washington,DC,20009,38.91613,-77.03572,6,2,3,3,$280.00 ,$650.00 ,$145.00 ,2,28,33,Entire home/apt
60%,N/A,1,Washington,DC,20010,38.93107,-77.03885,6,1,1,1,$145.00 ,$500.00 ,$100.00 ,2,1125,67,Entire home/apt
